"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"IS60","systolic_BP",1,"linear",6.20480854506908,1.67476838644991,0.0023544836858505,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","systolic_BP",2,"linear",2.19915926589936,1.70058820320116,0.325179526297348,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","systolic_BP",3,"linear",3.34835219556433,1.62989026741834,0.288395638239083,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","systolic_BP",4,"linear",2.29144045797573,1.70316578350274,0.406915834274472,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",1,"linear",-0.304740831566312,1.64056323687511,0.855302286135629,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",2,"linear",-0.679843738640468,1.31559201397378,0.656791278262927,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",3,"linear",0.0387564903366927,1.40155701155481,0.982400386217149,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",4,"linear",-0.528018210019526,1.35225936259576,0.763008791355894,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXBMI",1,"linear",-2.8555366662734,0.732747260726923,0.00161115157721007,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXBMI",2,"linear",-3.25578349930345,0.649172032645829,0.0375325606766795,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXBMI",3,"linear",-2.91117170134936,0.587806267867355,0.126837097637552,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXWAIST",1,"linear",-3.22020057798564,1.646276077319,0.0707140713039874,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXWAIST",2,"linear",-5.41941719992494,1.31520782462932,0.054155772818845,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXWAIST",3,"linear",-4.77136230287453,1.32266696100244,0.172154211704519,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","LBXGLU",1,"linear",-9.43677192530398,5.19659567729518,0.0908489226159722,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IS60","LBXGLU",2,"linear",-10.9053344033426,5.86034643614868,0.159692308968095,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IS60","LBXGLU",3,"linear",-11.186859352742,5.95438693620298,0.201051256908238,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IV60","systolic_BP",1,"linear",3.30399076048315,1.12021355123782,0.0105578090422572,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
