"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"IS60","systolic_BP",1,"linear",6.20480854506908,1.67476838644991,0.0023544836858505,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","systolic_BP",2,"linear",1.70925568042716,1.54241414645695,0.329932878584556,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",1,"linear",-0.304740831566312,1.64056323687511,0.855302286135629,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","diastolic_BP",2,"linear",0.386499707013993,1.74771768440327,0.835809416415613,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXBMI",1,"linear",-2.8555366662734,0.732747260726923,0.00161115157721007,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXBMI",2,"linear",-3.08222333131011,0.619045932590953,0.0076027885655514,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXWAIST",1,"linear",-3.22020057798564,1.646276077319,0.0707140713039874,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","BMXWAIST",2,"linear",-5.44581474258778,1.50776420808513,0.0225196022976736,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IS60","LBXGLU",1,"linear",-9.43677192530398,5.19659567729518,0.0908489226159722,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IS60","LBXGLU",2,"linear",-15.4728674127871,4.73391465801603,0.0222350809879632,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IV60","systolic_BP",1,"linear",3.30399076048315,1.12021355123782,0.0105578090422572,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","systolic_BP",2,"linear",-1.00327430700379,1.10117008710605,0.413783359013446,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","diastolic_BP",1,"linear",-1.7131479263576,1.06985298522861,0.13162839711557,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","diastolic_BP",2,"linear",-1.87861422126599,1.05380927229546,0.149215978833837,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","BMXBMI",1,"linear",1.50173743219362,0.453421814768531,0.00513802908922698,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","BMXBMI",2,"linear",1.85605074295844,0.501110825012286,0.0207649544829406,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","BMXWAIST",1,"linear",5.83008552020362,1.03377054157243,6.10252171257751e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","BMXWAIST",2,"linear",5.23233713965861,1.31859087269186,0.0165645984599532,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"IV60","LBXGLU",1,"linear",9.30482471301429,2.43553400660298,0.00187364612856807,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IV60","LBXGLU",2,"linear",6.40468399872914,2.57252978199087,0.0551851232570006,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"M10_midpoint","systolic_BP",1,"linear",-0.597274050986773,0.0775918368461882,2.13823880645225e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","systolic_BP",2,"linear",-0.0511788925201265,0.0816030744726454,0.564568446508892,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","diastolic_BP",1,"linear",0.00915917997834701,0.112127134897172,0.936053015042065,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","diastolic_BP",2,"linear",-0.0204904295679808,0.122226547376468,0.874998499490177,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","BMXBMI",1,"linear",-0.0533615172492474,0.053125875020552,0.332214421272653,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","BMXBMI",2,"linear",-0.0111474595084232,0.0559548503918067,0.851805941215974,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_midpoint","BMXWAIST",1,"linear",-0.256816320701854,0.127889253517018,0.0643286463820917,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
