"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"IS60","morning_SBP",1,"linear",8.34453379628903,12.9226796387246,0.520628753466066,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IS60","morning_DBP",1,"linear",-0.225384404959479,8.18418395250183,0.978110480442225,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IS60","evening_SBP",1,"linear",14.6621740338285,12.8168684966512,0.256645196426532,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IS60","evening_DBP",1,"linear",2.53758771217672,8.04639139688919,0.753446819889015,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IS60","average_SBP",1,"linear",11.4431403435887,12.7312863250681,0.371920075475334,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IS60","average_DBP",1,"linear",0.763557807624741,7.96496786216418,0.923910135211274,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","morning_SBP",1,"linear",-9.2889276108499,5.73949722149629,0.110201180828592,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","morning_DBP",1,"linear",-4.48388564510766,3.65274621129598,0.223852930195578,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","evening_SBP",1,"linear",-10.7724640441323,5.69076677424094,0.0626180611518963,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","evening_DBP",1,"linear",-4.58358504881174,3.59068550447889,0.206113831277044,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","average_SBP",1,"linear",-9.91054686767419,5.65244884320705,0.0840537178096643,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"IV60","average_DBP",1,"linear",-4.57742461326981,3.55117844209707,0.201770233976087,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","morning_SBP",1,"linear",-0.515702498135388,0.655225288348353,0.433980596341641,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","morning_DBP",1,"linear",-0.122884151277204,0.415315613040914,0.768222372279038,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","evening_SBP",1,"linear",-0.316419901381527,0.655932688253236,0.631073254649347,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","evening_DBP",1,"linear",0.0899020166343761,0.408736977713436,0.826568461659381,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","average_SBP",1,"linear",-0.423346879911381,0.648274862873385,0.515934926322057,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_midpoint","average_DBP",1,"linear",0.0113906295022896,0.404474063154311,0.977615765296541,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","morning_SBP",1,"linear",0.000619950388493271,0.00487133648822876,0.899106295067655,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","morning_DBP",1,"linear",0.000285367355330382,0.00307588533406043,0.926354569032197,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","evening_SBP",1,"linear",-9.37195696302511e-07,0.00486341244714804,0.999846809219442,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","evening_DBP",1,"linear",-0.000112756663709449,0.00302645286494299,0.97038922252573,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","average_SBP",1,"linear",0.000277181195352018,0.00481333561433007,0.954247211949298,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt","average_DBP",1,"linear",5.24350558985439e-05,0.00299386501133802,0.986077717572359,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","morning_SBP",1,"linear",0.0619950388493272,0.487133648822876,0.899106295067655,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","morning_DBP",1,"linear",0.0285367355330382,0.307588533406043,0.926354569032197,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","evening_SBP",1,"linear",-9.3719569630113e-05,0.486341244714804,0.999846809219442,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","evening_DBP",1,"linear",-0.011275666370945,0.302645286494299,0.97038922252573,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","average_SBP",1,"linear",0.0277181195352016,0.481333561433007,0.954247211949298,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"M10_cnt_100","average_DBP",1,"linear",0.00524350558985435,0.299386501133802,0.986077717572359,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_midpoint","morning_SBP",1,"linear",-0.148592540216868,0.706042778578592,0.833939383917975,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_midpoint","morning_DBP",1,"linear",0.0979143839028772,0.445775485599177,0.826802131014942,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_midpoint","evening_SBP",1,"linear",-0.188238081441692,0.704670219552757,0.79017807910055,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_midpoint","evening_DBP",1,"linear",0.0451883835228862,0.43870949773609,0.918263776064628,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_midpoint","average_SBP",1,"linear",-0.190511691381614,0.697414770664434,0.785551684514752,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
